sku;title;variantkey;variant:Storlek;variant:Färg;priceisinclvat;moneyprice;moneypricein;vatid;defaultcategoryid;stockcountenable;stockallowbackorder;barcode;custom1;custom2;custom3;custom4;custom5;descriptionshort;description;manufacturerid
Skagway-NI-SINGLE-CU-92026;La Chemise Norrmalm XLÄ;8;42;;true;898;145;2;272;true;true;7333289092026;Skagway NI SINGLE CUFF;v21;;;;vit enf (em);Twill. Non-iron;73
Skagway-NI-SINGLE-CU-92033;La Chemise Norrmalm XLÄ;8;43;;true;898;145;2;272;true;true;7333289092033;Skagway NI SINGLE CUFF;v21;;;;vit enf (em);Twill. Non-iron;73
Skagway-NI-DOUBLE-CU-92040;La Chemise Norrmalm XLÄ;9;38;;true;898;145;2;272;true;true;7333289092040;Skagway NI DOUBLE CUFF;v21;;;;vit enf (dm);Twill. Non-iron;73
Skagway-NI-DOUBLE-CU-92057;La Chemise Norrmalm XLÄ;9;39;;true;898;145;2;272;true;true;7333289092057;Skagway NI DOUBLE CUFF;v21;;;;vit enf (dm);Twill. Non-iron;73
Skagway-NI-DOUBLE-CU-92064;La Chemise Norrmalm XLÄ;9;40;;true;898;145;2;272;true;true;7333289092064;Skagway NI DOUBLE CUFF;v21;;;;vit enf (dm);Twill. Non-iron;73
Skagway-NI-DOUBLE-CU-92071;La Chemise Norrmalm XLÄ;9;41;;true;898;145;2;272;true;true;7333289092071;Skagway NI DOUBLE CUFF;v21;;;;vit enf (dm);Twill. Non-iron;73
Skagway-NI-DOUBLE-CU-92088;La Chemise Norrmalm XLÄ;9;42;;true;898;145;2;272;true;true;7333289092088;Skagway NI DOUBLE CUFF;v21;;;;vit enf (dm);Twill. Non-iron;73
Skagway-NI-DOUBLE-CU-92095;La Chemise Norrmalm XLÄ;9;43;;true;898;145;2;272;true;true;7333289092095;Skagway NI DOUBLE CUFF;v21;;;;vit enf (dm);Twill. Non-iron;73
NEW-MANILA-BLUE-NI-92101;La Chemise Norrmalm XLÄ;10;38;;true;898;149;2;272;true;true;7333289092101;NEW MANILA BLUE NI ;v21;;;;blå enf (em);Fin struktur. Non-iron;73
NEW-MANILA-BLUE-NI-92118;La Chemise Norrmalm XLÄ;10;39;;true;898;149;2;272;true;true;7333289092118;NEW MANILA BLUE NI ;v21;;;;blå enf (em);Fin struktur. Non-iron;73
NEW-MANILA-BLUE-NI-92125;La Chemise Norrmalm XLÄ;10;40;;true;898;149;2;272;true;true;7333289092125;NEW MANILA BLUE NI ;v21;;;;blå enf (em);Fin struktur. Non-iron;73
NEW-MANILA-BLUE-NI-92132;La Chemise Norrmalm XLÄ;10;41;;true;898;149;2;272;true;true;7333289092132;NEW MANILA BLUE NI ;v21;;;;blå enf (em);Fin struktur. Non-iron;73
NEW-MANILA-BLUE-NI-92149;La Chemise Norrmalm XLÄ;10;42;;true;898;149;2;272;true;true;7333289092149;NEW MANILA BLUE NI ;v21;;;;blå enf (em);Fin struktur. Non-iron;73
NEW-MANILA-BLUE-NI-92156;La Chemise Norrmalm XLÄ;10;43;;true;898;149;2;272;true;true;7333289092156;NEW MANILA BLUE NI ;v21;;;;blå enf (em);Fin struktur. Non-iron;73
NEW-BURNEO-NI-92163;La Chemise Norrmalm XLÄ;11;38;;true;898;149;2;272;true;true;7333289092163;NEW BURNEO NI;v21;;;;vit enf (em bd);Oxford. Non-iron;73
NEW-BURNEO-NI-92170;La Chemise Norrmalm XLÄ;11;39;;true;898;149;2;272;true;true;7333289092170;NEW BURNEO NI;v21;;;;vit enf (em bd);Oxford. Non-iron;73
NEW-BURNEO-NI-92187;La Chemise Norrmalm XLÄ;11;40;;true;898;149;2;272;true;true;7333289092187;NEW BURNEO NI;v21;;;;vit enf (em bd);Oxford. Non-iron;73
NEW-BURNEO-NI-92194;La Chemise Norrmalm XLÄ;11;41;;true;898;149;2;272;true;true;7333289092194;NEW BURNEO NI;v21;;;;vit enf (em bd);Oxford. Non-iron;73
NEW-BURNEO-NI-92200;La Chemise Norrmalm XLÄ;11;42;;true;898;149;2;272;true;true;7333289092200;NEW BURNEO NI;v21;;;;vit enf (em bd);Oxford. Non-iron;73
NEW-BURNEO-NI-92217;La Chemise Norrmalm XLÄ;11;43;;true;898;149;2;272;true;true;7333289092217;NEW BURNEO NI;v21;;;;vit enf (em bd);Oxford. Non-iron;73
EDINBURG-NI-92224;La Chemise Norrmalm XLÄ;12;38;;true;898;149;2;272;true;true;7333289092224;EDINBURG NI ;v21;;;;blå enf (em);Diagonalrandig struktur. Non-iron;73
EDINBURG-NI-92231;La Chemise Norrmalm XLÄ;12;39;;true;898;149;2;272;true;true;7333289092231;EDINBURG NI ;v21;;;;blå enf (em);Diagonalrandig struktur. Non-iron;73
EDINBURG-NI-92248;La Chemise Norrmalm XLÄ;12;40;;true;898;149;2;272;true;true;7333289092248;EDINBURG NI ;v21;;;;blå enf (em);Diagonalrandig struktur. Non-iron;73
EDINBURG-NI-92255;La Chemise Norrmalm XLÄ;12;41;;true;898;149;2;272;true;true;7333289092255;EDINBURG NI ;v21;;;;blå enf (em);Diagonalrandig struktur. Non-iron;73
EDINBURG-NI-92262;La Chemise Norrmalm XLÄ;12;42;;true;898;149;2;272;true;true;7333289092262;EDINBURG NI ;v21;;;;blå enf (em);Diagonalrandig struktur. Non-iron;73
EDINBURG-NI-92279;La Chemise Norrmalm XLÄ;12;43;;true;898;149;2;272;true;true;7333289092279;EDINBURG NI ;v21;;;;blå enf (em);Diagonalrandig struktur. Non-iron;73
UJJAIN-92286;La Chemise Norrmalm XLÄ;13;38;;true;898;137;2;272;true;true;7333289092286;UJJAIN ;v21;;;;blå ran (em);;73
UJJAIN-92293;La Chemise Norrmalm XLÄ;13;39;;true;898;137;2;272;true;true;7333289092293;UJJAIN ;v21;;;;blå ran (em);;73
UJJAIN-92309;La Chemise Norrmalm XLÄ;13;40;;true;898;137;2;272;true;true;7333289092309;UJJAIN ;v21;;;;blå ran (em);;73
UJJAIN-92316;La Chemise Norrmalm XLÄ;13;41;;true;898;137;2;272;true;true;7333289092316;UJJAIN ;v21;;;;blå ran (em);;73
UJJAIN-92323;La Chemise Norrmalm XLÄ;13;42;;true;898;137;2;272;true;true;7333289092323;UJJAIN ;v21;;;;blå ran (em);;73
UJJAIN-92330;La Chemise Norrmalm XLÄ;13;43;;true;898;137;2;272;true;true;7333289092330;UJJAIN ;v21;;;;blå ran (em);;73
JONSTORP-92347;La Chemise Norrmalm XLÄ;14;38;;true;898;158;2;272;true;true;7333289092347;JONSTORP;v21;;;;blå enf (em);Twill. Litet hundtandsmönster. Non-iron;73
JONSTORP-92354;La Chemise Norrmalm XLÄ;14;39;;true;898;158;2;272;true;true;7333289092354;JONSTORP;v21;;;;blå enf (em);Twill. Litet hundtandsmönster. Non-iron;73
JONSTORP-92361;La Chemise Norrmalm XLÄ;14;40;;true;898;158;2;272;true;true;7333289092361;JONSTORP;v21;;;;blå enf (em);Twill. Litet hundtandsmönster. Non-iron;73
JONSTORP-92378;La Chemise Norrmalm XLÄ;14;41;;true;898;158;2;272;true;true;7333289092378;JONSTORP;v21;;;;blå enf (em);Twill. Litet hundtandsmönster. Non-iron;73
JONSTORP-92385;La Chemise Norrmalm XLÄ;14;42;;true;898;158;2;272;true;true;7333289092385;JONSTORP;v21;;;;blå enf (em);Twill. Litet hundtandsmönster. Non-iron;73
JONSTORP-92392;La Chemise Norrmalm XLÄ;14;43;;true;898;158;2;272;true;true;7333289092392;JONSTORP;v21;;;;blå enf (em);Twill. Litet hundtandsmönster. Non-iron;73
S542/5901-FRANKLIN-92408;La Chemise Norrmalm XLÄ;15;38;;true;898;158;2;272;true;true;7333289092408;S542/5901 - FRANKLIN LIGHT;v21;;;;blå ran (em lin);Ljusblå linne;73
S542/5901-FRANKLIN-92415;La Chemise Norrmalm XLÄ;15;39;;true;898;158;2;272;true;true;7333289092415;S542/5901 - FRANKLIN LIGHT;v21;;;;blå ran (em lin);Ljusblå linne;73
S542/5901-FRANKLIN-92422;La Chemise Norrmalm XLÄ;15;40;;true;898;158;2;272;true;true;7333289092422;S542/5901 - FRANKLIN LIGHT;v21;;;;blå ran (em lin);Ljusblå linne;73
S542/5901-FRANKLIN-92439;La Chemise Norrmalm XLÄ;15;41;;true;898;158;2;272;true;true;7333289092439;S542/5901 - FRANKLIN LIGHT;v21;;;;blå ran (em lin);Ljusblå linne;73
S542/5901-FRANKLIN-92446;La Chemise Norrmalm XLÄ;15;42;;true;898;158;2;272;true;true;7333289092446;S542/5901 - FRANKLIN LIGHT;v21;;;;blå ran (em lin);Ljusblå linne;73
S542/5901-FRANKLIN-92453;La Chemise Norrmalm XLÄ;15;43;;true;898;158;2;272;true;true;7333289092453;S542/5901 - FRANKLIN LIGHT;v21;;;;blå ran (em lin);Ljusblå linne;73
AMRITSAR-V445-7802-92460;La Chemise Norrmalm XLÄ;16;38;;true;898;158;2;272;true;true;7333289092460;AMRITSAR V445 - 7802;v21;;;;blå enf (em lin);Ljusblå linne;73
AMRITSAR-V445-7802-92477;La Chemise Norrmalm XLÄ;16;39;;true;898;158;2;272;true;true;7333289092477;AMRITSAR V445 - 7802;v21;;;;blå enf (em lin);Ljusblå linne;73
AMRITSAR-V445-7802-92484;La Chemise Norrmalm XLÄ;16;40;;true;898;158;2;272;true;true;7333289092484;AMRITSAR V445 - 7802;v21;;;;blå enf (em lin);Ljusblå linne;73
AMRITSAR-V445-7802-92491;La Chemise Norrmalm XLÄ;16;41;;true;898;158;2;272;true;true;7333289092491;AMRITSAR V445 - 7802;v21;;;;blå enf (em lin);Ljusblå linne;73
AMRITSAR-V445-7802-92507;La Chemise Norrmalm XLÄ;16;42;;true;898;158;2;272;true;true;7333289092507;AMRITSAR V445 - 7802;v21;;;;blå enf (em lin);Ljusblå linne;73
AMRITSAR-V445-7802-92514;La Chemise Norrmalm XLÄ;16;43;;true;898;158;2;272;true;true;7333289092514;AMRITSAR V445 - 7802;v21;;;;blå enf (em lin);Ljusblå linne;73
B531/0000-FRANKLIN-L-92521;La Chemise Norrmalm XLÄ;17;38;;true;898;158;2;272;true;true;7333289092521;B531/0000 FRANKLIN LIGHT;v21;;;;vit enf (em lin);Vit linne;73
B531/0000-FRANKLIN-L-92538;La Chemise Norrmalm XLÄ;17;39;;true;898;158;2;272;true;true;7333289092538;B531/0000 FRANKLIN LIGHT;v21;;;;vit enf (em lin);Vit linne;73
B531/0000-FRANKLIN-L-92545;La Chemise Norrmalm XLÄ;17;40;;true;898;158;2;272;true;true;7333289092545;B531/0000 FRANKLIN LIGHT;v21;;;;vit enf (em lin);Vit linne;73
B531/0000-FRANKLIN-L-92552;La Chemise Norrmalm XLÄ;17;41;;true;898;158;2;272;true;true;7333289092552;B531/0000 FRANKLIN LIGHT;v21;;;;vit enf (em lin);Vit linne;73
B531/0000-FRANKLIN-L-92569;La Chemise Norrmalm XLÄ;17;42;;true;898;158;2;272;true;true;7333289092569;B531/0000 FRANKLIN LIGHT;v21;;;;vit enf (em lin);Vit linne;73
B531/0000-FRANKLIN-L-92576;La Chemise Norrmalm XLÄ;17;43;;true;898;158;2;272;true;true;7333289092576;B531/0000 FRANKLIN LIGHT;v21;;;;vit enf (em lin);Vit linne;73
AMRITSAR-V445-8302-92583;La Chemise Norrmalm XLÄ;18;38;;true;898;183;2;272;true;true;7333289092583;AMRITSAR V445 - 8302;v21;;;;ros ran (em);Rosa linne;73
